docid,title,text,book,book_title,chapter_number,chapter_title
1,FINE SPICED WINE ,"the composition of [this] excellent spiced wine [is as follows]. into a copper bowl put 6 sextarii  of honey and 2 sextarii of wine; heat on a slow fire, constantly stirring the mixture with a whip. at the boiling point add a dash of cold wine, retire from stove and skim. repeat this twice or three times, let it rest till the next day, and skim again. then add 4 ozs. of crushed pepper , 3 scruples of mastich, a drachm each of [nard or laurel] leaves and saffron, 5 drachms of roasted date stones crushed and previously soaked in wine to soften them. when this is properly done add 18 sextarii of light wine. to clarify it perfectly, add [crushed] charcoal  twice or as often as necessary which will draw [the residue] together [and carefully strain or filter through the charcoal].",I,THE CAREFUL EXPERIENCED COOK,I,FINE SPICED WINE.
2,HONEY REFRESHER FOR TRAVELERS ,"the wayfarer's honey refresher (so called because it gives endurance and strength to pedestrians)  with which travelers are refreshed by the wayside is made in this manner: flavor honey with ground pepper and skim. in the moment of serving put honey in a cup, as much as is desired to obtain the right degree of sweetness, and mix spiced wine not more than a needed quantity; also add some wine to the spiced honey to facilitate its flow and the mixing.",I,THE CAREFUL EXPERIENCED COOK,I,FINE SPICED WINE.
3,ROMAN VERMOUTH ,"roman vermouth [or absinth] is made thus: according to the recipe of camerinum  you need wormwood from santo  for roman vermouth or, as a substitute, wormwood from the pontus  cleaned and crushed, 1 theban ounce  of it, 6 scruples of mastich, 3 each of [nard] leaves, costmary  and saffron and 18 quarts of any kind of mild wine. [filter cold] charcoal is not required because of the bitterness.",I,THE CAREFUL EXPERIENCED COOK,II,ROMAN VERMOUTH.
4,ROSE WINE ,"make rose wine in this manner: rose petals, the lower white part removed, sewed into a linen bag and immersed in wine for seven days. thereupon add a sack of new petals which allow to draw for another seven days. again remove the old petals and replace them by fresh ones for another week; then strain the wine through the colander. before serving, add honey sweetening to taste. take care that only the best petals free from dew be used for soaking.",I,THE CAREFUL EXPERIENCED COOK,III,ROSE WINE.
5,VIOLET WINE ,"in a similar way as above like the rose wine violet wine is made of fresh violets, and tempered with honey, as directed.",I,THE CAREFUL EXPERIENCED COOK,III,ROSE WINE.
6,ROSE WINE WITHOUT ROSES ,"rose wine without roses is made in this fashion: a palm leaf basket full of fresh citrus leaves is immersed in the vat of new wine before fermentation has set in. after forty days retire the leaves, and, as occasion arises, sweeten the wine with honey, and pass it up for rose wine.",I,THE CAREFUL EXPERIENCED COOK,III,ROSE WINE.
7,LIBURNIAN OIL ,"in order to make an oil similar to the liburnian oil proceed as follows: in spanish oil put [the following mixture of] elecampane, cyprian rush and green laurel leaves that are not too old, all of it crushed and macerated and reduced to a fine powder. sift this in and add finely ground salt and stir industriously for three days or more. then allow to settle. everybody will take this for liburnian oil.",I,THE CAREFUL EXPERIENCED COOK,IV,LIBURNIAN OIL.
8,TO CLARIFY MUDDY WINE ,"put bean meal and the whites of three eggs in a mixing bowl. mix thoroughly with a whip and add to the wine, stirring for a long time. the next day the wine will be clear . ashes of vines have the same effect.",I,THE CAREFUL EXPERIENCED COOK,V,TO CLARIFY MUDDY WINE.
9,TO IMPROVE A BROTH ,"if broth has contracted a bad odor, place a vessel upside down and fumigate it with laurel and cypress and before ventilating  it, pour the broth in this vessel. if this does not help matters  and if the taste is too pronounced, add honey and fresh spikenard  to it; that will improve it. also new must should be likewise effective .",I,THE CAREFUL EXPERIENCED COOK,VI,TO IMPROVE A BROTH WITH A BAD ODOR.
10,TO KEEP MEATS FRESH WITHOUT SALT FOR ANY LENGTH OF TIME ,"cover fresh meat with honey, suspend it in a vessel. use as needed; in winter it will keep but in summer it will last only a few days. cooked meat may be treated likewise.",I,THE CAREFUL EXPERIENCED COOK,VII,TO KEEP MEATS FRESH WITHOUT SALT.
11,TO KEEP COOKED SIDES OF PORK OR BEEF OR TENDERLOINS ,"place them in a pickle of mustard, vinegar, salt and honey, covering meat entirely, and when ready to use you'll be surprised.",I,THE CAREFUL EXPERIENCED COOK,VII,TO KEEP MEATS FRESH WITHOUT SALT.
12,TO MAKE SALT MEAT SWEET ,you can make salt meats sweet by first boiling them in milk and then finishing them in water.,I,THE CAREFUL EXPERIENCED COOK,VIII,TO MAKE SALT MEATS SWEET.
13,TO KEEP FRIED FISH ,immediately after they are fried pour hot vinegar over them.,I,THE CAREFUL EXPERIENCED COOK,IX,TO KEEP FRIED FISH.
14,TO KEEP OYSTERS ,"fumigate a vinegar barrel with pitch , wash it out with vinegar and stack the oysters in it",I,THE CAREFUL EXPERIENCED COOK,IX,TO KEEP FRIED FISH.
15,MAKING A LITTLE LASER GO A LONG WAY ,put the laser  in a spacious glass vessel; immerse about 20 pine kernels [pignolia nuts],I,THE CAREFUL EXPERIENCED COOK,X,TO MAKE LASER GO A LONG WAY.
16,TO MAKE HONEY CAKES LAST ,to make honey cakes that will keep take what the greeks call yeast  and mix it with the flour and the honey at the time when making the cooky dough.,I,THE CAREFUL EXPERIENCED COOK,XI,TO MAKE HONEY CAKES LAST.
17,SPOILED HONEY MADE GOOD ,how bad honey may be turned into a saleable article is to mix one part of the spoiled honey with two parts of good honey.,I,THE CAREFUL EXPERIENCED COOK,XI,TO MAKE HONEY CAKES LAST.
18,TO TEST SPOILED HONEY ,"immerse elencampane in honey and light it; if good, it will burn brightly.",I,THE CAREFUL EXPERIENCED COOK,XI,TO MAKE HONEY CAKES LAST.
